25,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. CANDELARIA","COLEGIO SAN FRANCISCO DE SALES",https://resultadosconvzla.com/centro/708,,,,,,,,,,,,,,,,,,,,,
26,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. CANDELARIA","ESCUELA EXPERIMENTAL VENEZUELA",https://resultadosconvzla.com/centro/710,,,,,,,,,,,,,,,,,,,,,
27,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. CANDELARIA","UNIDAD EDUCATIVA LICEO ALCAZAR",https://resultadosconvzla.com/centro/715,,,,,,,,,,,,,,,,,,,,,
28,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. CANDELARIA","UNIDAD EDUCATIVA COLEGIO LUIS DE CAMOES",https://resultadosconvzla.com/centro/716,,,,,,,,,,,,,,,,,,,,,
29,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. CANDELARIA","INSTITUTO UNITARIO DEL CENTRO",https://resultadosconvzla.com/centro/717,,,,,,,,,,,,,,,,,,,,,
30,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. CANDELARIA","URBANISMO CENTAURO BICENTENARIO",https://resultadosconvzla.com/centro/718,,,,,,,,,,,,,,,,,,,,,
31,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. CATEDRAL","CASA COLONIAL SANTA INÉS CANO AMARILLO",https://resultadosconvzla.com/centro/831,,,,,,,,,,,,,,,,,,,,,
32,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. CATEDRAL","BIBLIOTECA PUBLICA CENTRAL SIMON RODRIGUEZ",https://resultadosconvzla.com/centro/836,,,,,,,,,,,,,,,,,,,,,
33,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. CATEDRAL","INSTITUTO CICLO DIVERSIFICADO FERMÍN TORO",https://resultadosconvzla.com/centro/830,,,,,,,,,,,,,,,,,,,,,
34,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. CATEDRAL","GRAN MISIÓN VIVIENDA EDIFICIO SIMON",https://resultadosconvzla.com/centro/837,,,,,,,,,,,,,,,,,,,,,
35,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. CATEDRAL","ESCUELA BÁSICA BOLÍVAR",https://resultadosconvzla.com/centro/832,,,,,,,,,,,,,,,,,,,,,
36,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. CATEDRAL","UNIDAD EDUCATIVA SAN RAFAEL DE PAGUITA",https://resultadosconvzla.com/centro/833,,,,,,,,,,,,,,,,,,,,,
37,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. CATEDRAL","UNIDAD EDUCATIVA COLEGIO ÁVILA",https://resultadosconvzla.com/centro/834,,,,,,,,,,,,,,,,,,,,,
38,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. LA PASTORA","UNIDAD EDUCATIVA DISTRITAL JOSÉ LUÍS RAMOS",https://resultadosconvzla.com/centro/845,,,,,,,,,,,,,,,,,,,,,
39,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. LA PASTORA","AMBULATORIO NORTE",https://resultadosconvzla.com/centro/847,,,,,,,,,,,,,,,,,,,,,
40,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. LA PASTORA","UNIDAD EDUCATIVA NACIONAL BOLIVARIANA CRUCITA DELGADO",https://resultadosconvzla.com/centro/856,,,,,,,,,,,,,,,,,,,,,
41,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. LA PASTORA","UNIDAD EDUCATIVA NACIONAL BOLIVARIANA REPUBLICA DE BOLIVIA",https://resultadosconvzla.com/centro/863,,,,,,,,,,,,,,,,,,,,,
42,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. LA PASTORA","UNIDAD EDUCATIVA DISTRITAL URDANETA",https://resultadosconvzla.com/centro/870,,,,,,,,,,,,,,,,,,,,,
43,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. LA PASTORA","UNIDAD EDUCATIVA PARROQUIAL NUESTRA SEÑORA DE COROMOTO",https://resultadosconvzla.com/centro/872,,,,,,,,,,,,,,,,,,,,,
44,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. LA PASTORA","CASA COMUNAL LOMA 1",https://resultadosconvzla.com/centro/879,,,,,,,,,,,,,,,,,,,,,
45,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. LA PASTORA","UNIDAD EDUCATIVA CESAR REGIJO",https://resultadosconvzla.com/centro/881,,,,,,,,,,,,,,,,,,,,,
46,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. LA PASTORA","CENTRO PREESCOLAR ARTURO MICHELENA I",https://resultadosconvzla.com/centro/844,,,,,,,,,,,,,,,,,,,,,
47,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. LA PASTORA","UNIDAD EDUCATIVA DISTRITAL BOLIVARIANA JUAN BAUTISTA ALBERDI",https://resultadosconvzla.com/centro/848,,,,,,,,,,,,,,,,,,,,,
48,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. LA PASTORA","UNIDAD EDUCATIVA PRIVADA COLEGIO AGUSTINIANO SAN JUDAS TADEO",https://resultadosconvzla.com/centro/853,,,,,,,,,,,,,,,,,,,,,
49,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. LA PASTORA","LICEO BOLIVARIANO LINO GALLARDO",https://resultadosconvzla.com/centro/855,,,,,,,,,,,,,,,,,,,,,
50,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. LA PASTORA","LICEO BOLIVARIANO PERÚ DE LA CROIX",https://resultadosconvzla.com/centro/862,,,,,,,,,,,,,,,,,,,,,
51,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. LA PASTORA","UNIDAD EDUCATIVA PRIVADA COLEGIO AGUSTINIANO LA DIVINA PASTORA",https://resultadosconvzla.com/centro/864,,,,,,,,,,,,,,,,,,,,,
52,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. LA PASTORA","UNIDAD EDUCATIVA  DISTRITAL RIBAS",https://resultadosconvzla.com/centro/871,,,,,,,,,,,,,,,,,,,,,
53,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. LA PASTORA","UNIDAD EDUCATIVA NACIONAL CANAIMA",https://resultadosconvzla.com/centro/873,,,,,,,,,,,,,,,,,,,,,
54,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. LA PASTORA","UNIDAD PREESCOLAR JOSÉ PRUDENCIO PADILLA",https://resultadosconvzla.com/centro/878,,,,,,,,,,,,,,,,,,,,,
55,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. LA PASTORA","ESCUELA BÁSICA PRIVADA COLEGIO SAN FRANCISCO JAVIER",https://resultadosconvzla.com/centro/841,,,,,,,,,,,,,,,,,,,,,
56,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. LA PASTORA","UNIDAD EDUCATIVA SAN FRANCISCO JAVIER",https://resultadosconvzla.com/centro/857,,,,,,,,,,,,,,,,,,,,,
57,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. LA PASTORA","UNIDAD EDUCATIVA DISTRITAL  ENRIQUE CHAUMER",https://resultadosconvzla.com/centro/858,,,,,,,,,,,,,,,,,,,,,
58,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. LA PASTORA","UNIDAD EDUCATIVA DISTRITAL ANTONIO VAAMONDE",https://resultadosconvzla.com/centro/860,,,,,,,,,,,,,,,,,,,,,
59,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. LA PASTORA","ESCUELA NACIONAL BÁSICA EL POLVORÍN",https://resultadosconvzla.com/centro/874,,,,,,,,,,,,,,,,,,,,,
60,"DTTO. CAPITAL","MP. BLVNO LIBERTADOR","PQ. LA PASTORA","ASOCIACIÓN CIVIL COMUNITARIA LA DIVINA PASTORA",https://resultadosconvzla.com/centro/875,,,,,,,,,,,,,,,,,,,,,
